iter	Passed	Remaining
949	4443	233
950	4447	229
951	4451	224
952	4456	219
953	4460	215
954	4463	210
955	4467	205
956	4472	200
957	4476	196
958	4480	191
959	4484	186
960	4488	182
961	4492	177
962	4496	172
963	4500	168
964	4504	163
965	4508	158
966	4512	153
967	4516	149
968	4519	144
969	4523	139
970	4528	135
971	4532	130
972	4536	125
973	4540	121
974	4545	116
975	4549	111
976	4552	107
977	4556	102
978	4560	97
979	4564	93
980	4568	88
981	4573	83
982	4576	79
983	4580	74
984	4584	69
985	4588	65
986	4592	60
987	4596	55
988	4601	51
989	4604	46
990	4609	41
991	4613	37
992	4617	32
993	4621	27
994	4626	23
995	4631	18
996	4635	13
997	4639	9
998	4644	4
999	4648	0
